Name,Department,Area,Occupancy,Comments
REFEITÓRIO LINK,APOIO,28.53 m²,,
DEP. LIXO,EDIFICIO APOIO,15.11 m²,,
COZINHA,TERCEIRO,23.50 m²,,
C. FRIA,TERCEIRO,5.63 m²,,
C. CONG.,TERCEIRO,6.25 m²,,
VEST.,TERCEIRO,4.75 m²,,
SANIT.,TERCEIRO,3.28 m²,,
LAVAGEM,TERCEIRO,6.70 m²,,
DEPÓSITO,APOIO,24.00 m²,,
COPA,TERCEIRO,6.45 m²,,
TRIAGEM,TERCEIRO,5.16 m²,,
ESCRITÓRIO,TERCEIRO,5.27 m²,,
ENTRADA,TERCEIRO,45.19 m²,,
SALA SEGURANÇA,EDIFICIO APOIO,10.99 m²,,
TRAT. ESGOTO,EDIFICIO TÉCNICO,8.08 m²,,
PAINÉIS,EDIFICIO TÉCNICO,10.61 m²,,
LIXO,EDIFICIO APOIO,10.13 m²,,
ESCADA EMERGÊNCIA,EDIFICIO GERAL,24.27 m²,,
LOBBY SUBSOLO EXTERNO,CIRCULAÇÃO,15.24 m²,,
MED. /CABINE BARRAMENTOS,EDIFICIO TÉCNICO,19.75 m²,,
GERADOR EMERGÊNCIA,EDIFICIO TÉCNICO,28.23 m²,,
TANQUE DIESEL,EDIFICIO TÉCNICO,2.29 m²,,
CORREDOR TÉCNICO,EDIFICIO GERAL,28.04 m²,,
DISTR. GERAL,EDIFICIO TÉCNICO,9.18 m²,,
PCD SEG.,EDIFICIO APOIO,3.20 m²,,
ACESS. SEG.,EDIFICIO APOIO,2.35 m²,,
COPA,EDIFICIO APOIO,9.54 m²,,
SANIT.,EDIFICIO APOIO,4.29 m²,,
DML,EDIFICIO APOIO,2.18 m²,,
SANIT,EDIFICIO APOIO,4.29 m²,,
VAZIO,EDIFICIO TÉCNICO,33.55 m²,,
RES. ÁGUA P - CÉL 1,EDIFICIO TÉCNICO,56.14 m²,,
SALA PRESSURIZAÇÃO,EDIFICIO TÉCNICO,10.31 m²,,
ANTECÂMARA PRESSURIZAÇÃO,EDIFICIO TÉCNICO,1.44 m²,,
BOMBAS PRESS.,EDIFICIO TÉCNICO,60.93 m²,,
RES. ÁGUA P - CÉL 2,EDIFICIO TÉCNICO,9.57 m²,,
C. BOMBAS INC.,EDIFICIO TÉCNICO,6.13 m²,,
RES. REUSO 1,EDIFICIO TÉCNICO,4.36 m²,,
RES. REUSO 2,EDIFICIO TÉCNICO,4.36 m²,,
PRESS.,EDIFICIO TÉCNICO,1.40 m²,,
ESC. EMERGÊNCIA,EDIFICIO GERAL,17.20 m²,,
GARAGEM 2º SS,EDIFICIO GERAL,1015.65 m²,,
ÁREA TÉCNICA,EDIFICIO TÉCNICO,18.53 m²,,
ESCADA EMERGÊNCIA,EDIFICIO GERAL,28.18 m²,,
OP. ESTAC,EDIFICIO APOIO,2.71 m²,,
LAV. ESTAC.,EDIFICIO APOIO,1.97 m²,,
RECEPÇÃO,ESTAR,122.52 m²,,
LOBBY ELEVADORES ( CATRACAS),CIRCULAÇÃO,55.21 m²,,
ESCADA EMERGÊNCIA,EDIFICIO GERAL,14.68 m²,,
ESCADA EMERGÊNCIA SS,EDIFICIO GERAL,11.28 m²,,
ACESSO ENCOMENDAS,CIRCULAÇÃO,4.06 m²,,
LOCKERS ENCOMENDAS,APOIO,7.54 m²,,
VESTIÁRIO BIC.,BANHEIRO,3.03 m²,,
LAVABO,BANHEIRO,3.14 m²,,
LAVABO,BANHEIRO,3.72 m²,,
BAN. BIKE,BANHEIRO,4.36 m²,,
LINK STORE,USO GERAL,20.13 m²,,
LAVABO,BANHEIRO,2.43 m²,,
DML,APOIO,2.34 m²,,
PCD RECEP.,BANHEIRO,3.08 m²,,
COZINHA,TERCEIRO,58.60 m²,,
ACESSO WORKCAFÉ,CIRCULAÇÃO,26.10 m²,,
LAVABO,TERCEIRO,3.35 m²,,
ÁREA EXTERNA,ESTAR,125.93 m²,,
WORKCAFÉ,TERCEIRO,306.32 m²,,
ESTUDO COLETIVO,TERCEIRO,73.27 m²,,
LAVABO,BANHEIRO,2.03 m²,,
DML,TÉCNICO,2.03 m²,,
AV ROOM 2,APOIO,5.11 m²,,
HALL ELEVADORES,CIRCULAÇÃO,13.87 m²,,
LAVABO,BANHEIRO,3.51 m²,,
PCD,TERCEIRO,3.57 m²,,
LAB 48p,SALA DE AULA LAB,69.47 m²,,
FACILITIES,APOIO,8.27 m²,,
LOUNGE,ESTAR,212.42 m²,,
SALA 360 - 52P,SALA DE AULA,109.12 m²,,
SALA STADIUM - 56P,SALA DE AULA,121.48 m²,,
SALA 360 - 50P,SALA DE AULA,109.11 m²,,
LAB - 50P,SALA DE AULA LAB,85.69 m²,,
SALA AULA - 50P,SALA DE AULA,74.06 m²,,
PB 1,ESTUDO,2.41 m²,,
PB 2,ESTUDO,2.41 m²,,
PB 3,ESTUDO,2.41 m²,,
PB 4,ESTUDO,2.70 m²,,
LAVABO NOVO,BANHEIRO,4.01 m²,,
LAVABO NOVO,BANHEIRO,4.90 m²,,
DEPÓSITO 2,APOIO,5.70 m²,,
LAVABO NOVO,BANHEIRO,3.26 m²,,
COPA,APOIO,9.94 m²,,
AV ROOM 1,APOIO,6.99 m²,,
DEPÓSITO,APOIO,6.60 m²,,
PODCAST,USO GERAL,12.04 m²,,
AV ROOM 3,APOIO,6.91 m²,,
LOUNGE,ESTAR,217.99 m²,,
DML,TÉCNICO,2.35 m²,,
CPD,APOIO,2.36 m²,,
BAN. FEMININO,BANHEIRO,23.81 m²,,
CAFÉ,APOIO,4.04 m²,,
SALA AULA 50P,SALA DE AULA,86.02 m²,,
DML,APOIO,2.36 m²,,
S. ESTUDOS,ESTUDO,5.93 m²,,
CPD,TÉCNICO,2.38 m²,,
S. ESTUDOS,ESTUDO,5.94 m²,,
REUNIÃO 12P,REUNIÃO,26.25 m²,,
COPA ADM,APOIO,62.33 m²,,
ACADÊMICO 10P,ADM,37.42 m²,,
PROFESSORES,ADM,44.93 m²,,
MI-5 - ADM 8P,MI5,28.93 m²,,
MI-5 - 38P,MI5,111.89 m²,,
REUNIÃO 4P,REUNIÃO,7.60 m²,,
DEPO.,APOIO,1.94 m²,,
LAVABO 3,BANHEIRO,1.99 m²,,
LAVABO 4,BANHEIRO,1.98 m²,,
PCD 2,BANHEIRO,3.28 m²,,
ESCADA EMERGÊNCIA,EDIFICIO GERAL,28.18 m²,,
ÁREA TÉCNICA,EDIFICIO TÉCNICO,18.53 m²,,
LAVABO 1,BANHEIRO,1.97 m²,,
LAVABO 2,BANHEIRO,1.96 m²,,
PCD 1,BANHEIRO,3.28 m²,,
REUNIÃO 4P,REUNIÃO,7.54 m²,,
LINK STAFF - 48P,ADM,147.31 m²,,
NAPP,APOIO,10.62 m²,,
RECEPÇÃO,ESTAR,177.36 m²,,
DML,APOIO,1.92 m²,,
REUNIÃO 6P,REUNIÃO,14.91 m²,,
REUNIÃO 6P,REUNIÃO,10.47 m²,,
DEPÓSITO 1,APOIO,5.70 m²,,
LAVABO 1,BANHEIRO,1.87 m²,,
LAVABO 2,BANHEIRO,1.79 m²,,
VEST. 1,BANHEIRO,3.81 m²,,
VEST. 3,BANHEIRO,3.96 m²,,
VEST. 2,BANHEIRO,4.00 m²,,
DML,APOIO,1.25 m²,,
PCD,BANHEIRO,3.75 m²,,
ELÉTRICA,EDIFICIO TÉCNICO,3.79 m²,,
ACADEMIA,USO GERAL,167.27 m²,,
SALA ACADEMIA,USO GERAL,33.88 m²,,
AV ROOM,APOIO,4.49 m²,,
SALA FLEX 64P,SALA DE AULA,147.11 m²,,
CPD,TÉCNICO,5.01 m²,,
SECRETARIA 8P,ADM,28.49 m²,,
CORREDOR,CIRCULAÇÃO,13.12 m²,,
DEPÓSITO,APOIO,3.33 m²,,
REUNIÃO 6P,REUNIÃO,12.30 m²,,
PB,APOIO,3.49 m²,,
PLOTTER,APOIO,4.04 m²,,
